Employee_ID,Age,Gender,Department,Job_Role,Salary,Performance_Rating,Hire_Date,Years_of_Experience,City,Education,Work_Mode,Attrition
E001,22,Female,Operations,Operations Executive,51000,3,2025-04-05,0,Delhi,Bachelor's,Remote,No
E002,22,Male,Sales,Sales Executive,45000,3,2023-10-02,0,Chennai,Diploma,On-site,No
E003,21,Male,Sales,Business Development Executive,59000,3,2018-09-29,0,Bengaluru,Bachelor's,On-site,No
E004,43,Female,Sales,Sales Executive,70000,3,2017-06-27,17,Pune,Diploma,On-site,No
E005,44,Male,Marketing,Marketing Analyst,39000,2,2019-07-23,18,Pune,Master's,On-site,No
E006,50,Female,Sales,Business Development Executive,42000,3,2019-05-09,21,Chennai,Bachelor's,Remote,No
E007,55,Male,Operations,Operations Analyst,46000,4,2020-01-11,25,Mumbai,MBA,On-site,No
E008,41,Female,Finance,Financial Analyst,55000,2,2023-05-13,16,Chennai,Diploma,Hybrid,No
E009,30,Female,Operations,Operations Manager,44000,3,2023-04-19,7,Delhi,Diploma,Remote,No
E010,35,Male,Sales,Business Development Executive,64000,4,2025-06-23,7,Mumbai,Master's,Remote,No
E011,45,Female,Sales,Sales Executive,70000,5,2022-12-08,15,Nashik,Bachelor's,Remote,No
E012,55,Female,Operations,Operations Executive,57000,2,2021-11-16,21,Chennai,MBA,Remote,No
E013,40,Male,Finance,Financial Analyst,47000,3,2018-10-24,14,Delhi,Bachelor's,Remote,No
E014,22,Male,HR,Training Coordinator,64000,3,2020-06-13,0,Delhi,Bachelor's,On-site,Yes
E015,25,Male,Operations,Operations Manager,44000,4,2023-03-02,1,Nashik,Diploma,On-site,No
E016,40,Female,Marketing,Digital Marketing Specialist,58000,3,2022-10-21,13,Mumbai,Bachelor's,Hybrid,No
E017,35,Male,IT,Data Analyst,46000,4,2017-08-30,8,Pune,MBA,On-site,Yes
E018,38,Female,Marketing,Digital Marketing Specialist,48000,4,2025-02-10,13,Mumbai,Diploma,Hybrid,No
E019,27,Female,Finance,Financial Analyst,60000,3,2022-03-28,7,Chennai,Bachelor's,On-site,No
E020,27,Male,Sales,Business Development Executive,44000,3,2022-01-12,2,Bengaluru,Diploma,On-site,No
E021,27,Male,IT,QA Engineer,83000,5,2017-03-02,1,Nashik,Master's,On-site,No
E022,51,Male,Sales,Sales Manager,57000,5,2018-11-06,20,Hyderabad,MBA,Hybrid,Yes
E023,52,Male,HR,Training Coordinator,41000,3,2017-08-28,22,Pune,MBA,On-site,No
E024,53,Male,IT,QA Engineer,45000,5,2017-11-25,24,Delhi,Bachelor's,Remote,No
E025,28,Male,Finance,Payroll Specialist,40000,4,2021-09-14,7,Delhi,MBA,Hybrid,No
E026,36,Female,Finance,Finance Executive,63000,2,2024-03-28,9,Nashik,Bachelor's,On-site,No
E027,25,Male,Sales,Sales Executive,64000,3,2020-11-30,0,Bengaluru,MBA,On-site,No
E028,54,Male,Sales,Business Development Executive,67000,3,2024-06-10,19,Mumbai,MBA,On-site,No
E029,38,Female,IT,Data Analyst,80000,3,2020-11-05,10,Nashik,MBA,Remote,No
E030,24,Male,Sales,Business Development Executive,59000,5,2017-06-30,0,Mumbai,MBA,On-site,No
E031,48,Male,Operations,Operations Manager,43000,2,2024-10-01,16,Nashik,MBA,Remote,No
E032,48,Male,Marketing,Digital Marketing Specialist,37000,3,2025-12-05,21,Bengaluru,Master's,Remote,Yes
E033,43,Female,Finance,Financial Analyst,47000,5,2019-08-28,18,Nashik,Master's,Hybrid,No
E034,42,Female,IT,Data Analyst,84000,5,2019-10-14,13,Chennai,Bachelor's,Hybrid,No
E035,35,Male,IT,QA Engineer,71000,3,2025-12-02,13,Pune,Master's,Hybrid,No
E036,25,Female,HR,HR Analyst,46000,4,2021-06-26,5,Delhi,MBA,On-site,No
E037,32,Female,IT,System Administrator,44000,2,2021-11-15,7,Bengaluru,Diploma,Remote,No
E038,45,Male,Marketing,Marketing Executive,51000,2,2021-11-22,13,Nashik,Master's,Hybrid,No
E039,42,Female,Sales,Sales Executive,39000,4,2020-05-15,15,Hyderabad,MBA,Hybrid,No
E040,29,Male,Operations,Process Coordinator,62000,4,2021-04-02,8,Mumbai,MBA,Hybrid,No
E041,40,Female,Marketing,Marketing Executive,48000,3,2023-07-04,14,Hyderabad,Diploma,Hybrid,No
E042,53,Female,Operations,Operations Analyst,46000,4,2020-03-08,22,Delhi,MBA,On-site,No
E043,35,Male,Finance,Finance Executive,47000,1,2019-09-30,10,Nashik,Bachelor's,Hybrid,No
E044,45,Female,Sales,Sales Analyst,57000,3,2024-05-11,18,Nashik,Bachelor's,Hybrid,Yes
E045,54,Female,Finance,Accountant,41000,4,2018-05-13,22,Hyderabad,MBA,Hybrid,No
E046,49,Male,Marketing,Content Specialist,65000,4,2025-06-07,17,Bengaluru,Diploma,Remote,No
E047,49,Male,Finance,Finance Executive,56000,3,2020-10-07,18,Pune,Master's,On-site,No
E048,30,Male,Finance,Payroll Specialist,42000,3,2020-09-17,7,Pune,Master's,Hybrid,No
E049,45,Female,Sales,Sales Executive,32000,5,2020-05-08,19,Nashik,Diploma,Remote,No
E050,52,Male,Operations,Operations Analyst,53000,3,2017-04-29,21,Chennai,Diploma,Remote,No
E051,29,Male,Finance,Payroll Specialist,63000,4,2024-06-08,3,Hyderabad,Master's,Hybrid,No
E052,37,Female,Finance,Financial Analyst,58000,3,2020-08-31,10,Hyderabad,MBA,Hybrid,No
E053,51,Male,HR,HR Executive,58000,4,2020-12-04,18,Nashik,Bachelor's,On-site,No
E054,22,Male,Finance,Accountant,53000,2,2024-07-05,0,Mumbai,Diploma,Remote,No
E055,31,Male,HR,HR Analyst,59000,4,2020-06-28,4,Bengaluru,Diploma,Hybrid,No
E056,25,Male,Operations,Operations Analyst,42000,4,2020-05-20,6,Nashik,Bachelor's,Remote,No
E057,55,Female,IT,System Administrator,84000,3,2022-09-04,25,Nashik,Diploma,Hybrid,No
E058,44,Female,IT,QA Engineer,51000,3,2025-03-25,16,Bengaluru,Diploma,Hybrid,No
E059,41,Male,Sales,Business Development Executive,37000,3,2022-01-21,12,Delhi,Diploma,Hybrid,No
E060,41,Male,IT,QA Engineer,73000,3,2025-12-12,13,Delhi,MBA,Remote,No
E061,26,Male,IT,Data Analyst,68000,4,2025-07-03,2,Chennai,Diploma,Hybrid,No
E062,39,Male,IT,Software Developer,67000,4,2020-06-08,14,Hyderabad,MBA,Hybrid,No
E063,43,Female,Operations,Process Coordinator,53000,3,2019-08-03,12,Bengaluru,Bachelor's,Remote,No
E064,33,Male,Marketing,Digital Marketing Specialist,65000,3,2023-08-12,11,Bengaluru,Bachelor's,On-site,No
E065,44,Male,HR,Recruiter,44000,1,2022-12-28,13,Pune,MBA,Remote,No
E066,27,Male,Finance,Payroll Specialist,56000,4,2021-12-10,3,Pune,MBA,Hybrid,No
E067,46,Female,IT,Software Developer,46000,4,2024-09-12,14,Nashik,MBA,On-site,No
E068,47,Male,Finance,Financial Analyst,71000,3,2021-12-19,16,Hyderabad,MBA,Remote,No
E069,27,Male,Marketing,Marketing Executive,48000,3,2017-11-29,2,Delhi,Bachelor's,On-site,No
E070,49,Female,IT,QA Engineer,60000,1,2020-03-26,21,Nashik,Diploma,On-site,No
E071,37,Male,Operations,Operations Analyst,63000,2,2019-07-10,13,Bengaluru,Master's,On-site,No
E072,40,Female,IT,Data Analyst,70000,2,2024-09-21,12,Bengaluru,Diploma,Hybrid,No
E073,48,Female,IT,Software Developer,80000,3,2018-01-10,16,Nashik,Bachelor's,Remote,No
E074,32,Female,HR,HR Executive,51000,4,2020-02-14,6,Hyderabad,Diploma,On-site,No
E075,47,Female,Sales,Business Development Executive,52000,4,2018-10-21,16,Hyderabad,MBA,Remote,No
E076,50,Male,Sales,Sales Executive,52000,3,2018-04-20,22,Delhi,Bachelor's,Remote,No
E077,47,Male,Marketing,Content Specialist,47000,4,2023-12-26,20,Hyderabad,Bachelor's,On-site,No
E078,39,Female,HR,Recruiter,63000,4,2018-05-13,9,Delhi,Master's,Remote,No
E079,21,Female,Finance,Finance Executive,43000,3,2018-04-10,1,Chennai,Master's,Hybrid,No
E080,53,Female,Operations,Process Coordinator,62000,5,2022-04-19,19,Mumbai,Diploma,On-site,No
E081,25,Female,Marketing,Digital Marketing Specialist,61000,3,2025-11-01,4,Pune,MBA,Remote,No
E082,30,Female,HR,Training Coordinator,52000,4,2020-09-23,7,Hyderabad,Diploma,Hybrid,No
E083,45,Male,Finance,Accountant,64000,2,2025-05-09,16,Nashik,Diploma,Hybrid,No
E084,52,Male,Operations,Operations Analyst,44000,4,2023-08-15,20,Nashik,Diploma,On-site,No
E085,21,Male,Marketing,Content Specialist,61000,5,2018-09-25,0,Bengaluru,MBA,Remote,No
E086,26,Female,Operations,Operations Manager,70000,3,2020-07-21,6,Nashik,Diploma,Remote,No
E087,36,Female,IT,Software Developer,56000,4,2021-11-13,7,Chennai,Bachelor's,Hybrid,No
E088,22,Male,Finance,Finance Executive,58000,4,2020-04-16,0,Mumbai,Master's,Remote,No
E089,31,Male,Sales,Sales Analyst,37000,4,2021-04-16,8,Hyderabad,Master's,On-site,No
E090,50,Female,Sales,Business Development Executive,32000,5,2022-03-21,18,Mumbai,Bachelor's,Hybrid,No
E091,48,Female,HR,HR Analyst,49000,5,2019-03-27,18,Pune,Master's,Hybrid,No
E092,39,Female,Marketing,Marketing Analyst,36000,5,2024-05-20,12,Delhi,Bachelor's,Remote,No
E093,39,Male,Operations,Operations Manager,58000,3,2019-02-18,13,Nashik,Master's,Remote,No
E094,40,Female,IT,Software Developer,44000,4,2025-03-19,11,Bengaluru,MBA,Remote,No
E095,33,Male,Sales,Sales Analyst,66000,5,2021-02-07,9,Bengaluru,Master's,Hybrid,No
E096,42,Male,Sales,Business Development Executive,61000,5,2018-07-31,17,Nashik,Diploma,Remote,No
E097,46,Male,HR,HR Executive,43000,4,2022-02-06,16,Chennai,MBA,Remote,No
E098,27,Male,Sales,Business Development Executive,62000,1,2023-04-19,3,Mumbai,Bachelor's,Remote,No
E099,47,Male,Sales,Business Development Executive,40000,2,2017-06-02,16,Pune,Bachelor's,On-site,No
E100,45,Female,Marketing,Digital Marketing Specialist,58000,4,2025-05-02,18,Hyderabad,Master's,Hybrid,No
E101,52,Female,Operations,Operations Executive,53000,1,2021-02-26,19,Mumbai,MBA,On-site,No
E102,55,Female,Operations,Process Coordinator,39000,3,2019-02-17,20,Nashik,Diploma,On-site,No
E103,22,Male,Operations,Operations Analyst,57000,3,2018-05-31,4,Pune,Master's,Remote,No
